Frequency (Hz)	Level (dB)
195.144653	-69.973381
195.817566	-70.804947
196.490479	-70.179138
197.163391	-69.498932
197.836304	-68.804405
198.509216	-70.108231
199.182129	-70.407646
199.855042	-68.276520
200.527954	-68.023262
201.200867	-68.656158
201.873779	-68.521385
202.546692	-68.190681
203.219604	-69.827454
203.892517	-67.565636
204.565430	-68.295464
205.238342	-68.044846
205.911255	-69.939407
206.584167	-69.770058
207.257080	-70.106720
207.929993	-68.939484
208.602905	-70.901756
209.275818	-70.892769
209.948730	-71.864464
210.621643	-71.101974
211.294556	-70.851227
211.967468	-70.895767
212.640381	-71.575050
213.313293	-71.273552
213.986206	-70.048164
214.659119	-69.355011
215.332031	-69.512329
216.004944	-69.929237
216.677856	-71.196701
217.350769	-70.557198
218.023682	-69.752548
218.696594	-71.210632
219.369507	-70.014374
220.042419	-69.721184
220.715332	-69.904778
221.388245	-70.557640
222.061157	-69.513901
222.734070	-70.237061
223.406982	-69.695251
224.079895	-71.044106
224.752808	-68.568138
225.425720	-69.002274
226.098633	-68.307640
226.771545	-69.702339
227.444458	-68.224442
228.117371	-69.497719
228.790283	-68.221039
229.463196	-70.290451
230.136108	-71.031036
230.809021	-71.655289
231.481934	-70.016388
232.154846	-68.455376
232.827759	-69.693069
233.500671	-70.431366
234.173584	-70.846214
234.846497	-69.452515
235.519409	-70.546249
236.192322	-71.621742
236.865234	-72.472260
237.538147	-72.811401
238.211060	-71.809174
238.883972	-71.630295
239.556885	-72.587990
240.229797	-71.617592
240.902710	-71.867157
241.575623	-71.230637
242.248535	-71.425217
242.921448	-71.669930
243.594360	-71.934967
244.267273	-69.430283
244.940186	-69.692551
245.613098	-69.385452
246.286011	-70.660828
246.958923	-70.867912
247.631836	-71.471710
248.304749	-71.478180
248.977661	-71.785126
249.650574	-72.531868
250.323486	-72.317970
250.996399	-72.550819
251.669312	-71.665314
252.342224	-71.246994
253.015137	-71.415321
253.688049	-72.056297
254.360962	-71.862160
255.033875	-71.309563
255.706787	-71.800789
256.379700	-71.650337
257.052612	-71.880768
257.725525	-72.921005
258.398438	-72.694092
259.071350	-72.515739
259.744263	-72.058479
260.417175	-72.240524
261.090088	-71.772423
261.763000	-71.822945
262.435913	-70.474442
263.108826	-70.812035
263.781738	-71.569534
264.454651	-71.900299
265.127563	-71.131866
265.800476	-70.990730
266.473389	-70.672249
267.146301	-71.594612
267.819214	-72.200432
268.492126	-72.270699
269.165039	-70.575424
269.837952	-70.824860
270.510864	-71.766312
271.183777	-71.753098
271.856689	-70.945107
272.529602	-70.373550
273.202515	-70.870987
273.875427	-71.060921
274.548340	-72.627464
275.221252	-72.006310
275.894165	-71.272667
276.567078	-71.748207
277.239990	-73.566689
277.912903	-72.454109
278.585815	-72.906227
279.258728	-72.630524
279.931641	-72.838417
280.604553	-73.840134
281.277466	-75.042374
281.950378	-73.912560
282.623291	-73.652740
