Frequency (Hz)	Level (dB)
11541.796875	-83.873405
11584.863281	-83.915588
11627.929688	-83.832741
11670.996094	-83.936172
11714.062500	-84.210907
11757.128906	-84.133377
11800.195313	-84.274307
11843.261719	-84.240631
11886.328125	-84.073441
11929.394531	-84.086044
11972.460938	-83.892090
12015.527344	-83.734390
12058.593750	-84.077629
12101.660156	-84.130348
12144.726563	-83.764717
12187.792969	-83.768951
12230.859375	-83.776367
12273.925781	-83.757645
12316.992188	-83.835922
12360.058594	-82.799500
12403.125000	-82.478600
12446.191406	-83.849510
12489.257813	-83.868439
12532.324219	-83.806152
12575.390625	-83.795639
12618.457031	-83.542511
12661.523438	-83.512436
12704.589844	-83.947556
12747.656250	-83.932449
12790.722656	-84.026443
12833.789063	-84.021027
12876.855469	-83.898209
12919.921875	-83.844391
12962.988281	-83.816017
13006.054688	-83.541328
13049.121094	-83.633522
13092.187500	-83.756744
13135.253906	-83.188774
13178.320313	-82.766029
13221.386719	-83.316589
13264.453125	-83.439957
13307.519531	-83.425674
13350.585938	-82.740364
13393.652344	-81.522400
13436.718750	-83.281235
13479.785156	-83.644012
13522.851563	-83.435570
13565.917969	-83.502678
13608.984375	-83.319458
13652.050781	-83.328354
13695.117188	-83.788750
13738.183594	-83.858383
13781.250000	-83.861031
13824.316406	-83.914375
13867.382813	-83.946175
13910.449219	-83.750122
13953.515625	-83.780602
13996.582031	-83.432594
14039.648438	-83.535652
14082.714844	-83.779541
14125.781250	-83.378891
14168.847656	-82.784180
14211.914063	-83.161545
14254.980469	-83.285904
14298.046875	-83.343018
14341.113281	-82.948433
14384.179688	-80.845703
14427.246094	-82.709824
14470.312500	-83.671906
14513.378906	-83.465401
14556.445313	-83.355164
14599.511719	-83.421196
14642.578125	-83.037987
14685.644531	-83.795395
14728.710938	-84.007912
14771.777344	-83.932686
14814.843750	-83.938248
14857.910156	-83.822166
14900.976563	-83.827812
14944.042969	-83.935295
14987.109375	-83.942589
15030.175781	-83.957779
15073.242188	-83.858391
15116.308594	-83.431480
15159.375000	-83.483109
15202.441406	-83.405075
15245.507813	-83.014931
15288.574219	-82.977257
15331.640625	-82.550354
15374.707031	-79.104828
15417.773438	-80.811066
15460.839844	-83.170067
15503.906250	-82.839104
15546.972656	-82.319954
15590.039063	-82.867226
15633.105469	-82.187874
15676.171875	-83.258179
15719.238281	-83.538780
15762.304688	-83.579903
15805.371094	-83.652824
15848.437500	-83.568604
15891.503906	-83.457565
15934.570313	-83.632164
15977.636719	-83.656654
16020.703125	-83.441170
16063.769531	-83.247803
16106.835938	-82.459557
16149.902344	-81.901932
16192.968750	-82.235352
16236.035156	-81.219551
16279.101563	-80.965118
16322.167969	-80.038979
16365.234375	-73.511086
16408.300781	-73.846359
16451.367188	-79.378349
16494.433594	-78.796059
16537.500000	-76.677406
16580.566406	-78.014908
16623.632813	-75.369659
16666.699219	-76.613312
16709.765625	-78.397041
16752.832031	-78.411354
16795.898438	-78.055946
16838.964844	-77.349464
16882.031250	-74.288551
16925.097656	-76.372986
16968.164063	-78.334343
17011.230469	-78.138824
17054.296875	-78.183128
17097.363281	-77.227577
17140.429688	-75.153397
17183.496094	-78.264832
17226.562500	-78.044731
17269.628906	-78.623924
17312.695313	-79.449844
17355.761719	-74.846123
